"NICODE","INSTCODE","ACCENUMB","COLLNUMB","COLLCODE","GENUS","SPECIES","SPAUTHOR","SUBTAXA","SUBTAUTHOR","CROPNAME","ACCENAME","ACQDATE","ORIGCTY","COLLSITE","LATTITUDE","LONGITUDE","ELEVATION","COLLDATE","BREDCODE","SAMPSTAT","ANCEST","COLLSRC","DONORCODE","DONORNUMBER","OTHERNUMB","DUPLSITE","STORAGE ","REMARKS","COLLDESCR","BREDDESCR","DONORDESCR","DUPLDESCR","ACCEURL","MLSSTAT","AEGISSTAT","SMTAINST","SMTANUMB","SMTADATE","SMTACCE","SMTAGENUS","SMTARECIP","SMTAREMARK"
BIH,BIH039,GB00001,DM-1-1,BIH039,Triticum,aestivum,L.,subsp. aestivum,,Wheat,Jara p_enica,20081127,,Kne_evo,,,,2007----,,300,,21,,,,BIH039,13,COLLSRC: Keleman Petar,,,,,,,,,,,,,,
BIH,BIH039,GB00002,DM-1-2,BIH039,Triticum,aestivum,L.,subsp. aestivum,,Wheat,Jara p_enica,20081127,,Kne_evo,,,,2007----,,300,,21,,,,BIH039,13,COLLSRC: Velu_i? Danica,,,,,,,,,,,,,,
BIH,BIH039,GB00003,DM-1-3,BIH039,Triticum,aestivum,L.,subsp. aestivum,,Wheat,Obi?na jara p_enica,20081127,,Village Imljani,,,,2007----,,300,,21,,,,BIH039,13,COLLCRS:Gruba? Savo,,,,,,,,,,,,,,
BIH,BIH039,GB00004,DM-1-4,BIH039,Secale ,cereale,L.,,,Ray,"BL R 18, ra_ jarica",20081127,,Banja Luka,,,,2007----,,410,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00005,DM-1-5,BIH039,Avena ,sativa,L.,,,Oat,ZN-101,20081127,,Banja Luka,,,,2007----,,410,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00006,DM-1-6,BIH039,Avena,sativa,L.,,,Oat,_ilja jara,20081127,,Village Imljani,,,,2007----,,300,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00007,DM-6-8,BIH039,Gentiana,lutea,L.,,,Gentian,Lucerka,20081202,,Mountain _ator ,441004N,0163624E,1474,20060913,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00008,DM-6-3,BIH039,Thymus,vulgaris,L.,,,Thyme,Maj?ina du_ica,20081202,,Ravna mlini_ta,441423N,0164849E,1187,20060909,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00009,DM-6-4,BIH039,Thymus,vulgaris,L.,,,Thyme,Maj?ina du_ica,20081202,,Medna,442244N,0165730E,949,20060909,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00010,DM-6-2,BIH039,Helichrisum,italicum,(Roth) G.Don,,,Curry plant,Smilje,20081202,,Village Petrov Manastir (Trebinje),423956N,0181919E,280,20060804,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00011,DM-6-1,BIH039,Salvia,officinalis,L.,,,Sage,_alfija,20081202,,Village Kameni do (Trebinje),423845N,0181905E,296,20060803,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00012,DM-6-11,BIH039,Foeniculum,vulgare,Mill,,,Fennel,Komora?,20081202,,Village Staro Slano (Trebinje),424025N,0181955E,275,2007----,,100,,12,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00013,DM-6-5,BIH039,Hypericum,perforatum,L.,,,St. John's wort,Kantarion,20081203,,Medna,442244N,0165728E,949,20060909,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00014,DM-6-7,BIH039,Hypericum,perforatum,L.,,,St. John's wort,Kantarion,20081203,,Mountain _ator ,441004N,0163624E,1474,20060913,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00015,DM-6-9,BIH039,Juniperus,communis,L.,,,Gorse,Kleka,20081203,,Mountain _ator ,441004N,0163624E,1474,20060914,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00016,DM-6-12,BIH039,Salvia,officinalis,L.,,,Sage,_alfija,20081203,,Ljubinje,425520N,0180155E,550,2007----,,100,,12,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00017,DM-6-10,BIH039,Vitex,agnus casus,L.,subsp. aestivum,,Vitex,Konopljika,20081203,,Popovo polje (Ljubinje),425241N,0175959E,244,2007----,,100,,12,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00018,DM-6-6,BIH039,Hypericum,perforatum,L.,,,St. John's wort,Kantarion,20081204,,Medna,442242N,0165715E,863,20060909,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00019,MR-6-10,BIH039,Fagopyrum,esculentum,Moench,,,Buckwheat,Heljda,20081204,,Lukavica (Isto?no Sarajevo),,,,200810--,,410,,21,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00020,MR-6-5,BIH039,Valeriana,officinalis,L.,,,Valerian,Valerijana,20081204,,Vojkovi?i (Isto?no Sarajevo),,,,200810--,,100,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00021,MR-6-7,BIH039,Ocimum,basilicum,L.,,,Basil,Bosiljak,20081204,,Trebinje,424123N,0181321E,286,200810--,,300,,21,,,,BIH039,13,,,,,,,,,,,,,,,
