"Donor Institute Code","Donor Name","Donor Accession Number","NO. ACC."
Institute of Botany,,,1980
Laboratory of Plants Gene Pool and Breeding,,,2111
Scientific Center of Agriculture and Plant Protection,,,12
Scientific Center of Agrobiotechnology,,,144
Scientific Center of Agrobiotechnology,"Armenian Academy of Viticulture, Wine-Making and Fruit-Growing",,13
Scientific Center of Agrobiotechnology,Centro Internacional de la Papa,,20
Scientific Center of Agrobiotechnology,International Centre for Agricultural Research in Dry Areas,,7
Scientific Center of Agrobiotechnology,Laboratory of Plants Gene Pool and Breeding,,85
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,,3
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10264,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10268,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10272,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10501,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10506,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10507,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10513,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10739,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10744,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10747,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,10748,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,11398,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,12119,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,12896,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,12897,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,12899,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,13153,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,13155,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,13374,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,13375,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,13807,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,13809,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,13996,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,14130,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,1960,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,4928,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,8441,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,8499,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,8513,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,9716,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K 2094,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K 2101,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K 2589,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1054,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1402,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1407,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1408,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1412,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1413,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1829,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1830,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1833,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1838,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1841,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1842,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1844,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-187,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-1873,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2039,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2040,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2041,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2042,1
